"province","health_sector","vaccination_date","total_number_vaccines_administered"
"Northern Cape","Public Health","2021-12-11",118
"North West","Public Health","2021-08-10",5787
"Free State","Public Health","2021-08-23",8098
"Free State","Private Health","2021-09-26",18
"Western Cape","Private Health","2021-10-24",206
"Free State","Public Health","2021-11-18",4487
"Free State","Private Health","2021-11-28",24
"North West","Private Health","2021-11-09",2096
"KwaZulu-Natal","Private Health","2021-07-18",133
"Gauteng","Public Health","2021-07-24",1293
"Mpumalanga","Private Health","2021-08-06",1529
"Western Cape","Private Health","2021-08-25",15370
"Western Cape","Private Health","2021-10-26",9387
"Gauteng","Public Health","2021-11-25",17188
"Mpumalanga","Private Health","2021-06-04",222
"Gauteng","Public Health","2021-11-22",17670
"Gauteng","Private Health","2021-06-24",4321
"North West","Public Health","2021-06-01",2920
"North West","Public Health","2021-05-18",1957
"Northern Cape","Public Health","2021-08-24",4106
"North West","Private Health","2021-08-17",3592
"Free State","Private Health","2021-10-01",3054
"North West","Public Health","2021-09-08",4677
"Mpumalanga","Public Health","2021-07-02",3319
"Western Cape","Private Health","2021-07-01",3513
"Free State","Public Health","2021-10-07",6488
"North West","Public Health","2021-09-19",285
"North West","Public Health","2021-12-08",4186
"Free State","Public Health","2021-10-05",6271
"Free State","Private Health","2021-06-30",615
"Northern Cape","Private Health","2021-10-13",760
"Northern Cape","Private Health","2021-05-28",22
"Northern Cape","Public Health","2021-06-02",459
"Limpopo","Public Health","2021-11-30",10027
"Western Cape","Private Health","2021-08-29",1574
"Northern Cape","Private Health","2021-11-18",569
"Limpopo","Public Health","2021-11-18",5422
"Mpumalanga","Private Health","2021-10-16",211
"North West","Private Health","2021-10-06",4123
"Limpopo","Public Health","2021-10-22",9535
"Limpopo","Public Health","2021-11-22",4388
"Northern Cape","Private Health","2021-05-26",37
"Northern Cape","Public Health","2021-09-15",3164
"Western Cape","Private Health","2021-12-02",5821
"North West","Public Health","2021-10-14",3296
"Western Cape","Public Health","2021-06-10",12394
"Free State","Public Health","2021-12-04",813
"North West","Public Health","2021-11-25",3047
"Eastern Cape","Private Health","2021-09-11",279
"Western Cape","Public Health","2021-10-28",19244
"Eastern Cape","Public Health","2021-07-21",20677
"Free State","Public Health","2021-10-22",6392
"Eastern Cape","Public Health","2021-10-07",12496
"Limpopo","Public Health","2021-08-06",1266
"Eastern Cape","Private Health","2021-05-18",73
"Free State","Public Health","2021-08-26",8592
"KwaZulu-Natal","Public Health","2021-09-17",14407
"Limpopo","Public Health","2021-07-06",15695
"KwaZulu-Natal","Public Health","2021-12-15",5418
"KwaZulu-Natal","Public Health","2021-07-26",24218
"Mpumalanga","Public Health","2021-09-11",1020
"North West","Private Health","2021-06-25",318
"Western Cape","Public Health","2021-05-20",2282
"free state","Private Health","2021-12-08",11
"Western Cape","Public Health","2021-06-02",14327
"Eastern Cape","Private Health","2021-10-28",2728
"Gauteng","Public Health","2021-11-10",17738
"Eastern Cape","Public Health","2021-08-30",26895
"KwaZulu-Natal","Public Health","2021-12-12",1391
"gauteng","Public Health","2021-12-01",4
"Free State","Public Health","2021-07-08",7997
"Gauteng","Public Health","2021-11-30",27386
"North West","Public Health","2021-06-15",3844
"Gauteng","Private Health","2021-05-26",7198
"Limpopo","Public Health","2021-09-02",19585
"Free State","Private Health","2021-07-03",199
"Mpumalanga","Private Health","2021-07-02",518
"Eastern Cape","Public Health","2021-11-01",2513
"KwaZulu-Natal","Private Health","2021-07-12",175
"Mpumalanga","Private Health","2021-08-04",2012
"KwaZulu-Natal","Private Health","2021-07-29",5761
"Gauteng","Public Health","2021-09-28",19900
"Mpumalanga","Public Health","2021-08-05",3052
"Limpopo","Public Health","2021-09-30",4261
"Limpopo","Public Health","2021-08-30",15329
"Mpumalanga","Private Health","2021-10-15",2341
"Eastern Cape","Private Health","2021-10-15",3608
"North West","Private Health","2021-08-04",2622
"North West","Private Health","2021-09-26",164
"KwaZulu-Natal","Private Health","2021-08-26",7618
"Limpopo","Public Health","2021-08-17",9545
"Eastern Cape","Public Health","2021-06-24",8367
"kwazulu-natal","Public Health","2021-12-13",26
"Western Cape","Private Health","2021-08-06",10714
"Free State","Public Health","2021-06-23",3218
"Northern Cape","Public Health","2021-05-27",609
"North West","Private Health","2021-08-21",830
"Northern Cape","Private Health","2021-06-18",114
"North West","Public Health","2021-12-13",1911
"Western Cape","Private Health","2021-06-22",4567
"Northern Cape","Private Health","2021-07-01",166
"Free State","Public Health","2021-11-14",535
"Western Cape","Public Health","2021-09-14",24938
"Limpopo","Public Health","2021-06-24",11450
"Eastern Cape","Public Health","2021-10-22",8060
"Free State","Private Health","2021-09-06",2696
"Free State","Public Health","2021-11-09",4844
"Northern Cape","Private Health","2021-06-22",130
"KwaZulu-Natal","Public Health","2021-06-08",14703
"Mpumalanga","Public Health","2021-10-21",4060
"Western Cape","Private Health","2021-06-06",62
"Eastern Cape","Private Health","2021-09-09",3791
"Eastern Cape","Private Health","2021-06-23",1236
"KwaZulu-Natal","Private Health","2021-08-04",7621
"eastern cape","Private Health","2021-12-06",12
"Eastern Cape","Private Health","2021-12-12",36
"Mpumalanga","Public Health","2021-09-09",7662
"Northern Cape","Public Health","2021-11-10",1552
"North West","Public Health","2021-10-16",607
"Western Cape","Public Health","2021-09-01",26408
"Eastern Cape","Private Health","2021-09-26",126
"Gauteng","Public Health","2021-10-30",5120
"Free State","Private Health","2021-11-05",1746
"North West","Private Health","2021-06-26",84
"Western Cape","Public Health","2021-06-05",152
"Eastern Cape","Public Health","2021-07-09",18243
"Eastern Cape","Private Health","2021-05-17",61
"Free State","Public Health","2021-09-07",7101
"Eastern Cape","Private Health","2021-12-09",1931
"KwaZulu-Natal","Public Health","2021-10-05",11196
"Gauteng","Private Health","2021-11-08",12521
"Gauteng","Private Health","2021-10-10",3745
"North West","Private Health","2021-09-02",3557
"North West","Public Health","2021-06-25",1349
"Mpumalanga","Private Health","2021-11-15",1251
"Free State","Public Health","2021-07-20",9553
"KwaZulu-Natal","Public Health","2021-10-09",4356
"Free State","Private Health","2021-06-10",105
"KwaZulu-Natal","Public Health","2021-11-19",8943
"Eastern Cape","Public Health","2021-06-25",6261
"Free State","Private Health","2021-07-15",1633
"Gauteng","Public Health","2021-10-17",1538
"Mpumalanga","Private Health","2021-10-02",665
"KwaZulu-Natal","Private Health","2021-12-01",4090
"Mpumalanga","Public Health","2021-06-20",7
"North West","Public Health","2021-08-03",5887
"KwaZulu-Natal","Public Health","2021-09-24",2295
"Mpumalanga","Private Health","2021-10-06",2707
"North West","Private Health","2021-10-13",2832
"Free State","Public Health","2021-08-13",3713
"Free State","Private Health","2021-10-07",2783
"Free State","Public Health","2021-06-29",2611
"Mpumalanga","Private Health","2021-06-16",1
"Mpumalanga","Private Health","2021-06-08",125
"Northern Cape","Public Health","2021-11-06",17
"Mpumalanga","Private Health","2021-10-20",1838
"Gauteng","Public Health","2021-07-16",27419
"Eastern Cape","Private Health","2021-06-25",1167
"Limpopo","Private Health","2021-08-19",2357
"Eastern Cape","Private Health","2021-08-23",5066
"Limpopo","Private Health","2021-07-05",694
"Limpopo","Private Health","2021-08-11",2070
"North West","Public Health","2021-06-14",3558
"Mpumalanga","Private Health","2021-10-22",1666
"Gauteng","Public Health","2021-06-11",11796
"Mpumalanga","Private Health","2021-11-27",266
"Northern Cape","Private Health","2021-10-17",180
"Eastern Cape","Private Health","2021-11-01",671
"Limpopo","Private Health","2021-07-09",1354
"Free State","Public Health","2021-07-11",417
"Limpopo","Private Health","2021-07-07",1157
"Gauteng","Private Health","2021-07-09",21224
"Mpumalanga","Public Health","2021-07-21",13157
"Western Cape","Public Health","2021-12-09",9423
"Gauteng","Private Health","2021-11-24",12790
"Western Cape","Private Health","2021-09-30",8282
"North West","Public Health","2021-07-01",5275
"Western Cape","Public Health","2021-08-24",29455
"Mpumalanga","Public Health","2021-05-29",32
"Limpopo","Public Health","2021-09-24",123
"Northern Cape","Private Health","2021-09-09",904
"Western Cape","Public Health","2021-06-19",22
"Gauteng","Public Health","2021-08-26",33248
"Gauteng","Public Health","2021-11-02",27702
"Western Cape","Public Health","2021-06-08",12221
"Northern Cape","Private Health","2021-11-08",690
"North West","Private Health","2021-06-22",198
"Gauteng","Public Health","2021-12-14",15956
"Free State","Private Health","2021-07-27",1866
"Free State","Private Health","2021-12-01",2199
"KwaZulu-Natal","Private Health","2021-08-27",9958
"Limpopo","Private Health","2021-07-22",2610
"Western Cape","Public Health","2021-09-15",25826
"KwaZulu-Natal","Public Health","2021-10-19",11705
"North West","Public Health","2021-10-28",4428
"gauteng","Public Health","2021-12-07",18
"Limpopo","Public Health","2021-11-16",5645
"North West","Public Health","2021-08-31",5024
"Western Cape","Public Health","2021-09-30",16681
"Eastern Cape","Public Health","2021-07-22",16069
"Gauteng","Private Health","2021-09-18",7399
"Limpopo","Private Health","2021-08-05",3540
"Eastern Cape","Public Health","2021-12-09",6197
"KwaZulu-Natal","Public Health","2021-08-04",11307
"KwaZulu-Natal","Public Health","2021-12-01",9642
"Mpumalanga","Public Health","2021-08-13",3325
"Western Cape","Private Health","2021-09-20",8292
"Western Cape","Public Health","2021-05-18",1563
"Free State","Public Health","2021-06-07",4622
"Northern Cape","Private Health","2021-09-26",6
"Limpopo","Public Health","2021-12-08",7369
"North West","Private Health","2021-12-10",1894
"Western Cape","Public Health","2021-11-23",8594
"KwaZulu-Natal","Public Health","2021-09-22",11242
"KwaZulu-Natal","Public Health","2021-07-14",2857
"Gauteng","Private Health","2021-08-28",10772
"Western Cape","Public Health","2021-09-13",22486
"Gauteng","Public Health","2021-08-21",5899
"North West","Private Health","2021-06-10",178
"KwaZulu-Natal","Private Health","2021-06-11",1517
"Gauteng","Public Health","2021-09-19",1791
"Eastern Cape","Public Health","2021-06-22",11103
"Northern Cape","Public Health","2021-07-28",945
"Western Cape","Private Health","2021-11-16",5588
"Western Cape","Private Health","2021-06-26",178
"western cape","Public Health","2021-12-04",9
"KwaZulu-Natal","Public Health","2021-07-29",17296
"Gauteng","Public Health","2021-07-15",26043
"Gauteng","Private Health","2021-11-04",15937
"Northern Cape","Private Health","2021-07-28",525
"Eastern Cape","Public Health","2021-10-04",11079
"Limpopo","Public Health","2021-05-26",6747
"Eastern Cape","Private Health","2021-12-07",2049
"KwaZulu-Natal","Public Health","2021-08-08",1299
"Limpopo","Private Health","2021-11-16",1808
"North West","Public Health","2021-07-22",5865
"North West","Private Health","2021-07-05",769
"Gauteng","Private Health","2021-10-07",28095
"Western Cape","Private Health","2021-07-28",10351
"Western Cape","Public Health","2021-10-04",19040
"Limpopo","Private Health","2021-06-30",242
"Gauteng","Public Health","2021-08-02",18126
"Eastern Cape","Public Health","2021-09-19",546
"Eastern Cape","Public Health","2021-10-30",1431
"Gauteng","Public Health","2021-08-28",6969
"Western Cape","Public Health","2021-11-28",158
"KwaZulu-Natal","Public Health","2021-11-05",8002
"North West","Public Health","2021-09-02",4167
"Gauteng","Public Health","2021-06-26",92
"Western Cape","Private Health","2021-10-12",10077
"Limpopo","Public Health","2021-06-15",17012
"KwaZulu-Natal","Private Health","2021-11-15",3769
"Western Cape","Private Health","2021-06-10",2824
"Western Cape","Private Health","2021-08-12",10237
"Free State","Public Health","2021-08-29",1083
"Northern Cape","Private Health","2021-07-29",533
"Free State","Public Health","2021-08-07",752
"Gauteng","Private Health","2021-08-17",20301
"Mpumalanga","Private Health","2021-12-15",1205
"Northern Cape","Private Health","2021-08-17",506
"Northern Cape","Public Health","2021-11-01",309
"Limpopo","Public Health","2021-08-04",13066
"Eastern Cape","Private Health","2021-08-27",5644
"Gauteng","Private Health","2021-11-15",13631
"Gauteng","Public Health","2021-11-29",26271
"KwaZulu-Natal","Public Health","2021-06-19",1692
"Limpopo","Public Health","2021-12-09",6821
"North West","Public Health","2021-11-10",3967
"KwaZulu-Natal","Private Health","2021-11-01",1596
"Northern Cape","Public Health","2021-07-26",1619
"North West","Private Health","2021-09-27",4346
"Western Cape","Private Health","2021-10-02",6486
"Western Cape","Private Health","2021-06-19",296
"Limpopo","Public Health","2021-07-23",3036
"Northern Cape","Public Health","2021-11-29",1018
"Gauteng","Private Health","2021-09-09",30484
"Limpopo","Private Health","2021-05-28",642
"Eastern Cape","Private Health","2021-08-22",5
"Free State","Public Health","2021-11-11",4629
"Limpopo","Public Health","2021-07-14",17666
"Eastern Cape","Private Health","2021-11-28",19
"Western Cape","Private Health","2021-09-13",12341
"North West","Public Health","2021-09-04",919
"Limpopo","Public Health","2021-09-22",4942
"Free State","Private Health","2021-07-26",1953
"Gauteng","Public Health","2021-09-24",1102
"gauteng","Public Health","2021-12-12",10
"Free State","Public Health","2021-08-28",1255
"Northern Cape","Public Health","2021-10-03",782
"Limpopo","Private Health","2021-12-03",1897
"Eastern Cape","Private Health","2021-09-18",281
"KwaZulu-Natal","Public Health","2021-05-26",21712
"Eastern Cape","Public Health","2021-11-28",320
"Mpumalanga","Private Health","2021-07-28",2157
"Free State","Public Health","2021-10-31",376
"Eastern Cape","Public Health","2021-09-28",12776
"Free State","Private Health","2021-08-21",298
"North West","Private Health","2021-11-19",2092
"Mpumalanga","Public Health","2021-07-03",12
"KwaZulu-Natal","Public Health","2021-11-12",9818
"KwaZulu-Natal","Private Health","2021-08-19",7822
"North West","Public Health","2021-11-28",1223
"Free State","Public Health","2021-07-30",6836
"KwaZulu-Natal","Public Health","2021-05-29",1430
"Western Cape","Public Health","2021-11-08",9791
"Gauteng","Public Health","2021-11-11",18192
"KwaZulu-Natal","Public Health","2021-07-24",8302
"KwaZulu-Natal","Private Health","2021-05-27",981
"Western Cape","Public Health","2021-11-14",1445
"Free State","Private Health","2021-11-27",280
"Northern Cape","Private Health","2021-12-02",700
"Western Cape","Private Health","2021-07-04",1105
